SiteId,Type,Journal Name,Entry Id,System Name,x,y,z,Region (Calculated),Region (Journal),Primary Star,Body Name,POI Id,Body Sub Type,Gravity,Distance To Arrival,Surface Temperature,Volcanism,Orbital Period,Rotational Period,Orbital Eccentricity,Discovered By,Discovered By,Discovered By,Discovered By,Discovered By
687,Unknown,,,HIP 42459,441.4375,-55.46875,6.59375,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 8 D A,,Rocky body,0.1264024827,2026,452,Metallic Magma,0.8715157516,0.8859143519,,ClusterNuke63,ClusterNuke63,,,
688,Unknown,,,HIP 42459,441.4375,-55.46875,6.59375,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 8 D A,,Rocky body,0.1264024827,2026,452,Metallic Magma,0.8715157516,0.8859143519,,ClusterNuke63,ClusterNuke63,,,
689,Unknown,,,HIP 42459,441.4375,-55.46875,6.59375,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 8 D A,,Rocky body,0.1264024827,2026,452,Metallic Magma,0.8715157516,0.8859143519,,ClusterNuke63,ClusterNuke63,,,
690,Unknown,,,NGC 2451A SECTOR DQ-Y D2,828.71875,-91.6875,-302.65625,Inner Orion Spur,Inner Orion Spur,F (White) Star, 2 E A,,Rocky body,0.05181555654,1168,226,Major Silicate Vapour Geysers,0.7172328921,0.7324688043,,Deltus Infinium,Deltus Infinium,,,
691,Unknown,,,HIP 42459,441.4375,-55.46875,6.59375,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 7 A,,Rocky body,0.1082722589,1455,443,Metallic Magma,0.9477815755,0.9477922454,0.000502,ClusterNuke63,ClusterNuke63,,,
692,Unknown,,,HR 4220,445.375,-39.4375,163.625,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 9 A A,,Rocky body,0.08621894704,3884,366,Major Silicate Vapour Geysers,0.1929869249,0.1942858661,,ClusterNuke63,ClusterNuke63,,,
693,Unknown,,,HD 76838,1089.65625,30.1875,-98.125,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 10 C A,,Rocky body,0.1140363542,3734,358,Minor Metallic Magma,1.061732329,1.089508998,,ClusterNuke63,ClusterNuke63,,,
694,Unknown,,,SYNUEFE IN-I D10-18,770.53125,-493.03125,-170.09375,Inner Orion Spur,Inner Orion Spur,F (White) Star, 2 B,,Rocky body,0.1062072223,1707,204,Major Silicate Vapour Geysers,0.4583278628,0.6044260435,0.036766,GURU-951,GURU-951,,,
695,Unknown,,,SYNUEFE KX-J D9-7,941.90625,-652.78125,-219.09375,Inner Orion Spur,Inner Orion Spur,F (White) Star, 2 A,,Rocky body,0.1726092367,2912,226,Major Metallic Magma,0.9098676215,0.8624473741,0.000008,GURU-951,GURU-951,,,
696,Unknown,,,70 G. CARINAE,442,-136.875,48.6875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 10 C,,Rocky body,0.1395199082,3487,313,Major Silicate Vapour Geysers,0.4541972747,0.6567130986,0.149174,ClusterNuke63,ClusterNuke63,,,
697,Unknown,,,70 G. CARINAE,442,-136.875,48.6875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 6 A,,Rocky body,0.2915426421,2038,429,Major Silicate Vapour Geysers,0.8098050492,0.8098217773,0.005041,ClusterNuke63,ClusterNuke63,,,
698,Unknown,,,KAPPA-1 VOLANTIS,396.90625,-142.5625,106.09375,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, B 4 A,,Rocky body,0.2864043153,3198,479,Metallic Magma,1.014015541,1.014030154,0.005114,ClusterNuke63,ClusterNuke63,,,
699,Unknown,,,COL 173 SECTOR TJ-A B30-0,1740.78125,-204.09375,-61.15625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star,2,,High metal content world,0.1134436254,21,340,Minor Metallic Magma,0.9492259838,1.183916016,0.174313,Electricnacho,Electricnacho,,,
700,Unknown,,,COL 173 SECTOR QY-B B29-0,1733.65625,-220.71875,-67.9375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star,6,,High metal content world,1.010120155,116,232,Major Rocky Magma,62.03037037,62.07564236,0.000187,Electricnacho,Electricnacho,,,
701,Unknown,,,COL 173 SECTOR TJ-A B30-0,1740.78125,-204.09375,-61.15625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star,2,,High metal content world,0.1134436254,21,340,Minor Metallic Magma,0.9492259838,1.183916016,0.174313,Electricnacho,Electricnacho,,,
702,Unknown,,,COL 173 SECTOR BV-O D6-55,1757.71875,-206.6875,-150,Inner Orion Spur,Inner Orion Spur,, 6 A,,Rocky body,0.1146407376,2269,231,Minor Metallic Magma,1.217564742,1.217569444,0.000499,Electricnacho,Electricnacho,,,
703,Unknown,,,COL 173 SECTOR BV-O D6-55,1757.71875,-206.6875,-150,Inner Orion Spur,Inner Orion Spur,, 6 A,,Rocky body,0.1146407376,2269,231,Minor Metallic Magma,1.217564742,1.217569444,0.000499,Electricnacho,Electricnacho,,,
704,Unknown,,,COL 173 SECTOR KN-J B25-5,1002.90625,-152.28125,-160.25,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 3,,High metal content world,0.1446314685,10956,291,Minor Silicate Vapour Geysers,1.431393127,1.431394145,0.001683,Steve Arthur,Steve Arthur,,,
705,Unknown,,,COL 173 SECTOR RT-I B25-1,977,-233.625,-151.0625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 1 A,,Rocky body,0.1094909275,38,356,Major Silicate Vapour Geysers,0.5382108813,0.5595911567,,Steve Arthur,Steve Arthur,,,
706,Unknown,,,VELA DARK REGION VO-Q B5-1,1062.03125,-91.8125,-40.4375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 3 A,,Rocky body,0.1052785352,7857,368,Minor Silicate Vapour Geysers,1.46624783,1.483241193,,Steve Arthur,Steve Arthur,,,
707,Unknown,,,SYNUEFE VS-Q B38-0,437.3125,-140.4375,-242.65625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 1,,High metal content world,0.05518317353,2019,389,Metallic Magma,0.9328498445,0.9328499349,0.000121,Big blk Bruce,Big blk Bruce,,,
708,Unknown,,,WREGOE QB-F C11-14,851.875,41.15625,-562.9375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, AB 2 A,,Rocky body,0.2234156705,41,487,Metallic Magma,0.9761243128,1.011373246,,uggi75,uggi75,,,
709,Unknown,,,HIP 52116,468.625,-46.53125,166.40625,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 6 A,,Rocky body,0.3855440491,1865,418,Major Silicate Vapour Geysers,0.9130195674,0.8565873662,0.018135,Sheehy,Sheehy,,,
710,Unknown,,,HD 92989,450.03125,-43.25,161.15625,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, 5 B,,Rocky body,0.1523470992,1075,407,Minor Metallic Magma,1.371564851,1.339200213,0.005238,Sheehy,Sheehy,,,
711,Unknown,,,HIP 52116,468.625,-46.53125,166.40625,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 8 A,,Rocky body,0.2713731831,2648,369,Metallic Magma,0.8678487594,0.8678543656,0.002329,Sheehy,Sheehy,,,
712,Unknown,,,HD 93098,469.8125,-40,166.3125,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, ABC 2 B,,Rocky body,0.142884913,1252,336,Major Silicate Vapour Geysers,0.5016141312,0.8823706959,0.114058,Sheehy,Sheehy,,,
713,Unknown,,,HD 93424,486.75,-45.71875,177.09375,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, 3 A,,Rocky body,0.1193489059,972,389,Minor Metallic Magma,1.095789659,1.095792282,0.000871,Sheehy,Sheehy,,,
714,Unknown,,,V518 CARINAE,424.9375,-40.6875,153.46875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 2 A,1,Rocky body,0.2128695125,2802,414,Major Silicate Vapour Geysers,0.8572073025,0.8572320783,0.000059,Sheehy,Sheehy,,,
715,Unknown,,,EORL AUWSY SY-Z D13-544,4942.8125,181.71875,20668.03125,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, 3 C,,Rocky body,0.1158672972,1310,283,Major Silicate Vapour Geysers,0.3977676053,0.6149683521,0.011708,Baton,Baton,,,
716,Unknown,,,EORL AUWSY SY-Z D13-4045,4932.9375,171.65625,20629.9375,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, 5 A,,Rocky body,0.08996047259,1812,244,Minor Metallic Magma,0.8236358869,1.241987305,0.056084,Baton,Baton,,,
717,Unknown,,,EORL AUWSY SY-Z D13-4045,4932.9375,171.65625,20629.9375,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, 5 B,,Rocky body,0.08292634801,1812,244,Minor Metallic Magma,0.8236358869,1.100414316,0.056084,Baton,Baton,,,
718,Unknown,,,EORL AUWSY SY-Z D13-4045,4932.9375,171.65625,20629.9375,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, 5 B,,Rocky body,0.08292634801,1812,244,Minor Metallic Magma,0.8236358869,1.100414316,0.056084,Baton,Baton,,,
719,Unknown,,,EORL AUWSY SY-Z D13-1674,4928.625,156.96875,20663.4375,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, 2 C,,Rocky body,0.1519896665,1722,239,Major Silicate Vapour Geysers,0.3619403528,0.5033559389,0.112537,Baton,Baton,,,
720,Unknown,,,EORL AUWSY SY-Z D13-4588,4946.5,145.46875,20671.875,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, 6 D A,,Rocky body,0.08431881504,2010,238,Minor Metallic Magma,1.10968316,1.151306604,,Baton,Baton,,,
721,Unknown,,,EORL AUWSY SY-Z D13-4588,4946.5,145.46875,20671.875,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, 6 D A,,Rocky body,0.08431881504,2010,238,Minor Metallic Magma,1.10968316,1.151306604,,Baton,Baton,,,
722,Unknown,,,EORL AUWSY SY-Z D13-4588,4946.5,145.46875,20671.875,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, 6 D A,,Rocky body,0.08431881504,2010,238,Minor Metallic Magma,1.10968316,1.151306604,,Baton,Baton,,,
723,Unknown,,,COL 173 SECTOR JX-K B24-0,993.0625,-188.1875,-173.53125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 4 A,,Rocky body,0.06609107751,681,248,Major Silicate Vapour Geysers,0.2996735344,0.302234894,,Baton,Baton,,,
724,Unknown,,,COL 173 SECTOR DK-Y B30-2,1304.34375,-216.21875,-39.34375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 2,,High metal content world,0.07765504987,12,468,Major Silicate Vapour Geysers,0.5027072935,0.7137363462,0.041147,Baton,Baton,,,
725,Unknown,,,COL 173 SECTOR DK-Y B30-2,1304.34375,-216.21875,-39.34375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 3,,High metal content world,0.07725858876,12,468,Major Silicate Vapour Geysers,0.5027072935,0.7081673177,0.041147,Baton,Baton,,,
726,Unknown,,,COL 173 SECTOR DK-Y B30-2,1304.34375,-216.21875,-39.34375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 3,,High metal content world,0.07725858876,12,468,Major Silicate Vapour Geysers,0.5027072935,0.7081673177,0.041147,Baton,Baton,,,
727,Unknown,,,SYNUEFE VZ-C B46-0,401.96875,-94.96875,-83.34375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star,2,,High metal content world,0.07037531489,22,367,Minor Metallic Magma,1.105855067,0.8925965826,0.169424,Baton,Baton,,,
728,Unknown,,,HIP 34322,386.6875,-114.84375,-97.375,Inner Orion Spur,Inner Orion Spur,F (White) Star, 1 H,,Rocky body,0.0848373812,859,314,Metallic Magma,0.804900264,1.066324599,0.027504,Baton,Baton,,,
729,Unknown,,,HIP 34322,386.6875,-114.84375,-97.375,Inner Orion Spur,Inner Orion Spur,F (White) Star, 1 C,,Rocky body,0.07988341615,847,330,Major Silicate Vapour Geysers,0.4093178982,0.5955821398,0.183276,Baton,Baton,,,
730,Unknown,,,SYNUEFE SP-F B44-0,831.625,-187.5625,-121.84375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 5,,High metal content world,0.1041006313,31921,295,Minor Metallic Magma,0.7223862327,1.001263878,0.03362,Baton,Baton,,,
731,Unknown,,,EORL AUWSY SY-Z D13-544,4942.8125,181.71875,20668.03125,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, 3 E A,,Rocky body,0.05878239446,1311,278,Major Silicate Vapour Geysers,0.48581977,0.5091430212,,Baton,Baton,,,
732,Unknown,,,EORL AUWSY SY-Z D13-544,4942.8125,181.71875,20668.03125,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, 3 E A,,Rocky body,0.05878239446,1311,278,Major Silicate Vapour Geysers,0.48581977,0.5091430212,,Baton,Baton,,,
733,Unknown,,,EORL AUWSY TY-Z D13-3832,4981.09375,152.90625,20654.46875,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, 2 B,,Rocky body,0.1137359869,814,375,Major Silicate Vapour Geysers,0.5767275662,0.8247123662,0.168527,Baton,Baton,,,
734,Unknown,,,EORL AUWSY SY-Z D13-2879,4921.09375,174.625,20633.40625,Empyrean Straits,Empyrean Straits,G (White-Yellow) Star, A 1 B,,Rocky body,0.1033982532,1833,227,Minor Metallic Magma,1.278820439,1.235751953,0.000554,Baton,Baton,,,
735,Unknown,,,EORL AUWSY SY-Z D13-2879,4921.09375,174.625,20633.40625,Empyrean Straits,Empyrean Straits,G (White-Yellow) Star, A 1 A,,Rocky body,0.1484452605,1834,240,Major Silicate Vapour Geysers,0.8121211299,0.77467466,0.000086,Baton,Baton,,,
736,Unknown,,,COL 173 SECTOR CI-Y C15-1,1249.25,-185.3125,-17.8125,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, B 6 A,,Rocky body,0.05679414466,1017,212,Major Silicate Vapour Geysers,0.6100613516,0.617756845,,Baton,Baton,,,
737,Unknown,,,COL 173 SECTOR BN-Y C15-3,1281.96875,-172.21875,10.78125,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, A 3 A,,Rocky body,0.1057524806,57,460,Minor Metallic Magma,1.216058214,1.223712836,,Baton,Baton,,,
738,Unknown,,,COL 173 SECTOR AB-N D7-34,1303.9375,-258.15625,-46.625,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, B 3,,High metal content world,0.1230519745,40698,347,Major Silicate Vapour Geysers,0.4616619195,0.6416623264,0.091434,Baton,Baton,,,
739,Unknown,,,SYNUEFE QJ-O D7-49,740.34375,-219.34375,-382.9375,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, A 3 A,,Rocky body,0.1457674865,1517,395,Major Silicate Vapour Geysers,0.8259127242,0.8259176071,0.001739,Baton,Baton,,,
740,Unknown,,,COL 135 SECTOR LC-V D2-62,1013.0625,-206.34375,-324.6875,Inner Orion Spur,Inner Orion Spur,F (White) Star, 1 C,,Rocky body,0.1285315267,416,427,Major Silicate Vapour Geysers,0.3923570421,0.5397870551,0.039491,Baton,Baton,,,
741,Unknown,,,COL 135 SECTOR DL-N B7-0,1039.4375,-204.5,-360.96875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star,1,,High metal content world,0.09146046619,23,498,Metallic Magma,0.6560065828,1.013949382,0.193783,Baton,Baton,,,
742,Unknown,,,COL 173 SECTOR FS-I C10-2,1214.0625,-226.5625,-233.4375,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, B 4,,High metal content world,0.1378348829,967,233,Metallic Magma,0.734081986,0.7188119846,0.187911,Baton,Baton,,,
743,Unknown,,,COL 173 SECTOR SX-B B29-1,1252.8125,-213.90625,-84.875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 1,,High metal content world,0.2564319873,645,348,Major Silicate Vapour Geysers,0.3513594564,0.3913638419,0.14357,Baton,Baton,,,
744,Unknown,,,COL 173 SECTOR SX-B B29-1,1252.8125,-213.90625,-84.875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 1,,High metal content world,0.2564319873,645,348,Major Silicate Vapour Geysers,0.3513594564,0.3913638419,0.14357,Baton,Baton,,,
745,Unknown,,,COL 173 SECTOR ZW-Z C14-10,1180.75,-245.96875,-59.5,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, 1 C A,,Rocky body,0.04866891043,273,240,Major Silicate Vapour Geysers,0.5697742603,0.5802124476,,Baton,Baton,,,
746,Unknown,,,COL 173 SECTOR TG-A C15-12,1128.09375,-166.75,-39.59375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 2 A,,Icy body,0.06606804396,110,231,Water Geysers,0.4227646213,0.42518514,,Baton,Baton,,,
747,Unknown,,,COL 173 SECTOR YQ-W A63-2,1237.59375,-31.75,-24.96875,Inner Orion Spur,Inner Orion Spur,L (Brown dwarf) Star,1,,High metal content world,0.04327379999,5,381,Metallic Magma,1.013763202,0.959546441,,Baton,Baton,,,
748,Unknown,,,COL 173 SECTOR YQ-W A63-2,1237.59375,-31.75,-24.96875,Inner Orion Spur,Inner Orion Spur,L (Brown dwarf) Star,2,,Icy body,0.03838141611,9,249,Water Geysers,2.470967882,2.398715278,0.000011,Baton,Baton,,,
749,Unknown,,,COL 173 SECTOR XT-Q B21-5,1111.6875,-131.0625,-231.84375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, 5 A,,Icy body,0.07713562291,66,216,Major Water Geysers,1.538380896,1.543907878,,Baton,Baton,,,
750,Unknown,,,SYNUEFE NU-M D8-99,370.96875,-163.125,-281.875,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, A 2 A,,Rocky body,0.1051088407,1747,225,Metallic Magma,0.9612842701,0.9613366247,0.000175,Baton,Baton,,,
751,Unknown,,,SYNUEFE ZA-N B37-0,1009.21875,-721.9375,-264.75,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star,2,,High metal content world,0.03765493724,10,425,Minor Rocky Magma,2.154497432,2.089291269,0.000021,GURU-951,GURU-951,,,
752,Unknown,,,HIP 52132,471.1875,-50.46875,169.625,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, 7 E,,Rocky body,0.09065227109,1543,327,Metallic Magma,0.8752804,1.147602901,0.165907,Sheehy,Sheehy,,,
753,Roseum Brain Tree,codex_ent_seed,2100201,P CARINAE,460.09375,-27.5625,145,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star,2,2,High metal content world,1.444594848,4219,459,Minor Metallic Magma,37.42032118,37.42856771,0.18651,Sheehy,Sheehy,,,
754,Unknown,,,SYNUEFE WJ-D B46-0,498.0625,-49.65625,-80.78125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, D 3,,High metal content world,0.07657973604,8318,284,Minor Rocky Magma,2.118512551,2.086208587,0.000945,CodexNecro81,CodexNecro81,,,
755,Unknown,,,SYNUEFE GT-H B43-1,749,-163.09375,-128.0625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 3,,High metal content world,0.1489925678,27928,308,Rocky Magma,2.005662907,2.005664703,0.000161,Kataclysim,Kataclysim,,,
756,Unknown,,,NGC 2451A SECTOR RI-T C3-27,841.96875,-130.4375,-212.875,Inner Orion Spur,Inner Orion Spur,T Tauri Star, A 3 A,,Rocky body,0.1548822116,48,498,Major Silicate Vapour Geysers,0.6629749857,0.6745607504,,Lucius-Darcia,Lucius-Darcia,,,
757,Unknown,,,NGC 2451A SECTOR QT-R C4-18,731.25,-75.28125,-180,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star,4,,High metal content world,0.9587245608,47,476,Major Rocky Magma,13.50576244,13.59839265,0.000005,Lucius-Darcia,Lucius-Darcia,,,
758,Unknown,,,SYNUEFE QO-P D6-20,582.03125,-453.1875,-470.15625,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, 1 A,,Rocky body,0.1863369657,1437,374,Minor Metallic Magma,1.319733525,1.319748716,0.002194,Lucius-Darcia,Lucius-Darcia,,,
759,Unknown,,,SYNUEFE RT-P D6-15,880.75,-420.28125,-470.6875,Inner Orion Spur,Inner Orion Spur,F (White) Star, 2 B,,Rocky body,0.06348381556,2675,218,Minor Metallic Magma,1.185771123,1.185771846,0.001111,Lucius-Darcia,Lucius-Darcia,,,
760,Unknown,,,NGC 2451A SECTOR BL-X C1-12,753.6875,-21.15625,-303.125,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, D 2,,High metal content world,0.2347090057,54869,344,Major Rocky Magma,1.919839771,1.919841218,0.009133,Steve Arthur,Steve Arthur,,,
761,Unknown,,,PENCIL SECTOR JM-W D1-97,801.1875,-44.375,1.625,Inner Orion Spur,Inner Orion Spur,F (White) Star, 1 A,,Rocky body,0.2245615536,1396,222,Minor Silicate Vapour Geysers,1.455084455,1.455141692,0.001078,Steve Arthur,Steve Arthur,,,
762,Unknown,,,EORL AUWSY SY-Z D13-350,4905.15625,154,20647.40625,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, AB 1 A,,Rocky body,0.166296354,1925,309,Metallic Magma,0.9468372938,-0.9468404586,0.000814,Ishmair,Ishmair,,,
763,Unknown,,,EORL AUWSY SY-Z D13-5797,4934.59375,192,20634.15625,Empyrean Straits,Empyrean Straits,F (White) Star, 6 B A,,Rocky body,0.1688842139,1668,332,Major Silicate Vapour Geysers,0.2218620244,0.2299567555,,Bodaishin,Bodaishin,,,
764,Unknown,,,EORL AUWSY SY-Z D13-5797,4934.59375,192,20634.15625,Empyrean Straits,Empyrean Straits,F (White) Star, 5 B A,,Rocky body,0.04742561595,714,336,Major Silicate Vapour Geysers,0.4007306134,0.4055433485,,Bodaishin,Bodaishin,,,
765,Unknown,,,EORL AUWSY SY-Z D13-5797,4934.59375,192,20634.15625,Empyrean Straits,Empyrean Straits,F (White) Star, 5 B A,,Rocky body,0.04742561595,714,336,Major Silicate Vapour Geysers,0.4007306134,0.4055433485,,Bodaishin,Bodaishin,,,
766,Unknown,,,EORL AUWSY SY-Z D13-3468,4948.46875,165.0625,20654.53125,Empyrean Straits,Empyrean Straits,F (White) Star, ABC 3 A,,Rocky body,0.1930198433,3900,309,Major Silicate Vapour Geysers,0.8537548422,0.8537720047,0.00058,Bodaishin,Bodaishin,,,
767,Unknown,,,EORL AUWSY SY-Z D13-1087,4938.28125,183.375,20637.03125,Empyrean Straits,Empyrean Straits,A (Blue-White) Star, A 6 A,,Rocky body,0.1437366734,2559,207,Metallic Magma,1.037127188,-1.037196633,0.00016,Kaz Archer,Kaz Archer,,,
768,Unknown,,,PRAEA EUQ NG-Y D80,671.8125,3.875,360.9375,Inner Orion Spur,Inner Orion Spur,F (White) Star, 2 A,,Rocky body,0.05970834268,478,311,Minor Metallic Magma,1.230912815,1.158395996,0.007417,Aranionros Stormrage,Aranionros Stormrage,,,
769,Unknown,,,SYNUEFE HE-U C18-0,537.625,-579.78125,-264.4375,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, A 4,,High metal content world,1.381023249,134,480,Minor Metallic Magma,54.45626736,-54.01901042,0.000024,joulupunikki,joulupunikki,,,
770,Unknown,,,SYNUEFE IR-R B35-0,539.1875,-604.25,-302.5625,Inner Orion Spur,Inner Orion Spur,T Tauri Star, A 5 A,,Icy body,0.1143688433,81,218,Major Water Geysers,1.937201244,1.961281467,,joulupunikki,joulupunikki,,,
771,Unknown,,,SYNUEFE XJ-P C22-16,469.71875,-98.0625,-78,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star,4,,High metal content world,1.021542517,52,444,Major Rocky Magma,17.10067708,17.12300637,0.000017,MYO_Trav,MYO_Trav,,,
772,Unknown,,,WREGOE KK-C B40-8,379,13.09375,-193.40625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 1,,High metal content world,0.3107475221,258012,346,Major Silicate Vapour Geysers,0.2910879178,0.5529380516,0.071934,Teronis1746,Teronis1746,,,
773,Unknown,,,WREGOE CA-N B34-8,707,3.46875,-310.1875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, 2 A,,Rocky body,0.1454351941,28,448,Major Silicate Vapour Geysers,0.5886231373,0.5919241898,,HunabKU,HunabKU,,,
774,Unknown,,,CLOOKEOU VL-B D14-114,-780.4375,-466.375,12948.78125,Norma Expanse,Norma Expanse,G (White-Yellow) Star, 2 A,,Rocky body,0.1655740863,2151,217,Metallic Magma,0.8659723127,0.8659848814,0.000292,Crimshadow,Crimshadow,,,
775,Unknown,,,CLOOKEOU VL-B D14-121,-783.96875,-465.09375,12973.5625,Norma Expanse,Norma Expanse,F (White) Star, ABCD 1 A A,,Rocky body,0.0807292357,1807,217,Major Silicate Vapour Geysers,0.4983039913,0.5222358308,,Crimshadow,Crimshadow,,,
776,Unknown,,,GRAEA HYPUE HM-U D3-194,-773.5,-664.625,13360.96875,Norma Expanse,Norma Expanse,F (White) Star, 2 A,,Rocky body,0.1983074507,816,304,Minor Silicate Vapour Geysers,1.418924063,1.418940611,0.000916,Crimshadow,Crimshadow,,,
777,Unknown,,,GRAEA HYPUE HR-V D2-7,-879.8125,-841.875,13298,Norma Expanse,Norma Expanse,F (White) Star,4,,High metal content world,1.352226548,1254,230,Minor Metallic Magma,1137.056574,1.759664894,0.000271,Crimshadow,Crimshadow,,,
778,Unknown,,,GRAEA HYPUE WJ-P C6-22,-846.625,-905.9375,13301.59375,Norma Expanse,Norma Expanse,G (White-Yellow) Star,1,,Metal-rich body,1.181403434,9,1779,Silicate Vapour Geysers,0.9486302807,0.8952567998,0.000001,Crimshadow,Crimshadow,,,
779,Roseum Brain Tree,codex_ent_seed,2100201,HD 63154,979.46875,-207.40625,-131.59375,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, B 3 A,,Rocky body,0.1578584344,145947,290,Minor Metallic Magma,1.204765436,1.204775614,0.014839,Criddles,Criddles,,,
780,Roseum Brain Tree,codex_ent_seed,2100201,IC 2391 SECTOR HG-X B1-8,603.9375,-104.15625,-61.5625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 2,,High metal content world,0.2123446327,19256,291,Metallic Magma,0.6394747162,0.9388845902,0.149719,Varigor,Varigor,,,
781,Roseum Brain Tree,codex_ent_seed,2100201,SYNUEFE MY-P D6-38,586.90625,-285.78125,-446.625,Inner Orion Spur,Inner Orion Spur,F (White) Star, B 8 A,,Rocky body,0.1694088642,23739,291,Minor Silicate Vapour Geysers,1.36943486,1.369454843,0.003369,Molan Ryke,Molan Ryke,,,
782,Roseum Brain Tree,codex_ent_seed,2100201,NGC 2451A SECTOR KS-T B3-0,675.84375,-120.0625,-280.25,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 4 A,,Rocky body,0.06118644657,53761,240,Minor Metallic Magma,1.100389359,1.144835793,,Derek Poulter,Derek Poulter,,,
783,Roseum Brain Tree,codex_ent_seed,2100201,SYNUEFE OT-P D6-19,598,-412.40625,-453.78125,Inner Orion Spur,Inner Orion Spur,F (White) Star, B 1 A,,Rocky body,0.2005605406,6706,277,Minor Silicate Vapour Geysers,1.435636212,1.451172779,,Molan Ryke,Molan Ryke,,,
784,Roseum Brain Tree,codex_ent_seed,2100201,NGC 2451A SECTOR KS-T B3-0,675.84375,-120.0625,-280.25,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 4 A,,Rocky body,0.06118644657,53761,240,Minor Metallic Magma,1.100389359,1.144835793,,Derek Poulter,Derek Poulter,,,
